"單元小節","主題","小故事","練習題1","答案1","練習題2","答案2","練習題3","答案3","練習題4","答案4","練習題5","答案5","知識點"
"1-1","億以上的大數","在一場天文展中，老師告訴同學們：宇宙中的星星多得難以計算，像我們銀河系的恆星數量就超過了一千億顆！小澈想：哇，這就是「億」這個單位的世界啊！","10個一千萬是什麼數？","1億","5個一億是什麼數？","5億","3億加2億等於多少？","5億","4億減1億等於多少？","3億","2億乘以2等於多少？","4億","認識億以上的大數的單位意義與讀法。"
"1-2","多位小數","媽媽在超市買了一塊肉重達1.235公斤，小澈觀察電子秤的顯示數字，發現小數點後的數字有3位，媽媽說：這就是多位小數的世界。","1.235的小數部分是多少？",0.235,"0.007與0.07哪個比較大？",0.07,"0.123與0.132哪個較小？",0.123,"0.01、0.001、0.1由小到大排列","0.001 < 0.01 < 0.1","0.005的千分位是？",5,"理解並比較多位小數的大小與位置值。"
"1-3","數的十進位結構","在算珠課上，小澈學會用珠子代表千位、百位、十位，還有小數點後的十分位與百分位，發現數字其實像建積木一樣，有規律地排列著。","234.56中的十位數是？",3,"234.56的小數部分是？",0.56,"數字9876中的千位數是？",9,"小數0.407的百分位是幾？",0,"十進位的進位單位是幾？",10,"理解整數與小數的十進位結構及各位數值代表的意義。"
"1-4","十進位結構的應用","小澈和同學玩交換遊戲，10個十元可以換1個百元，100個百元可以換1個萬元，這就是十進位結構的應用，小澈越換越有成就感！","10個十元換多少元？","100元","100個百元換多少元？","10000元","5個十元與2個百元合起來是多少元？","250元","0.1元是幾分？","10分","1000元中有幾個十元？",100,"將十進位概念應用在實際生活計算與轉換中。"
"2-1","整數的分數倍","學校種樹活動，老師說我們要種的樹是學長姊的1/3，小澈發現分數倍原來是這樣計算的：整數×分數。","15的1/3是多少？",5,"24的2/3是多少？",16,"12是36的幾分之幾？","1/3","30的5/6是多少？",25,"40的3/5是多少？",24,"理解整數乘以分數即為「整數的幾分之幾」，並可反向求分數。"
"2-2","分數的分數倍 ","皮皮和多多在學校參加了一個「彩色紙張拼圖比賽」。 比賽規則是：每組要把一張黃色與藍色各占一半的紙，剪成幾份，並依照指定比例來拼成新的圖案。  皮皮拿到了「1/2 張黃紙的1/3」來設計太陽，多多則拿到了「1/2 張黃紙的1/4」來設計星星。 他們互相討論後發現：「哇！原來把一張的一部分再取一部分，就是要用乘法！」 最後，皮皮設計了一個金光閃閃的太陽，多多設計了一個小小閃亮的星星，成功贏得了比賽冠軍！","皮皮拿到1/2張紙，要取其中的1/3來使用，請問用了多少張紙？ "," 1/6","一張紙分成4份，多多用了其中的1/2，再從這部分取1/4，請問用了多少張紙？ "," 1/8","齊齊有3/5塊地，要種下2/3的部分，實際種了多少塊地？ "," 2/5","媽媽用5/8公斤的糖做糕點，每次需要用3/4，請問實際用多少公斤糖？ ","15/32 "," 小池塘長2又1/4公尺，寬3又1/5公尺，面積是多少平方公尺？（先換成假分數計算） ","7 1/5","介紹「分數的分數倍」概念：將分數的一部分再取一部分，用乘法計算。 練習分數×分數的實際應用，並觀察分子乘分子、分母乘分母的規律。分數乘分數的實際應用問題（如料理材料的計算、液體容量計算）。 分數乘分數應用到實際情境（登山步道、公園池塘的面積計算）。 更進階的應用：帶分數乘帶分數的應用題，並學習帶分數轉成假分數。"
"2-3","被乘數、乘數與積的關係 ","小樂和小芸在花園裡澆花。他們有一桶水，容量是10公升。小樂用了桶子的 3/5 來澆玫瑰，小芸用了桶子的 1/5 來澆向日葵。他們不用實際計算，只想想就知道：因為 3/5 比 1/5 大，所以小樂澆的水比較多。 他們還發現：當乘數是小於1的分數時，得到的水量（積）會比原來的水量（被乘數）少；如果乘數是大於1的數（像是 4/3），結果反而會比被乘數還要大呢！  從此以後，小樂和小芸不只學會了分數乘法，還學會了不用計算也可以大概判斷結果大小的好方法。","有一個水桶裝了12公升水，用了3/4。請問用了多少公升水？ ","9公升","一塊蛋糕，吃了 5/8，剩下多少塊？（用原本的一塊當作1） ","3/8塊","一條繩子長9公尺，剪掉 2/3，剪下來的是幾公尺？ ","6公尺","一個果汁瓶裝了6公升，喝掉了 5/6，還剩下多少公升？ ","1公升","媽媽買了 7/8 千克的草莓，用了 2/7 來做果醬，果醬用了多少千克草莓？","¼千克","理解乘數小於1或大於1時，積與被乘數的大小比較。透過表格，體會「兩數相乘，積與被乘數、乘數之間的比較關係」。當乘數<1時，積比被乘數小；當乘數>1時，積比被乘數大；當乘數=1時，積等於被乘數。思考帽問題：推論在何種情況下，積會是整數或分數。"
"2-4","分數除以整數 ","小明和小紅在學校的花園裡種植花朵，他們想知道每一個小花盆可以放入多少花。小明準備了 3/4 塊土地，打算平均分配給 3 個小花盆，他心裡想，「如果我把 3/4 塊土地平均分給 3 個花盆，那麼每個花盆會有多少土地呢？」  小紅用數學的方法幫忙算出答案，她告訴小明：「你可以把 3/4 除以 3，相當於 3/4 ÷ 3。」他們算出了每個花盆分到的土地是 1/4 塊。小明學到了「分數除以整數」的概念，覺得好有趣！","小明有 3/5 塊土地，他打算分給 2 個花盆，每個花盆分到的土地有多少？ ","3/10塊","小紅有 5/6 塊土地，他打算分給 3 個花盆，每個花盆分到的土地有多少？ ","5/18塊","小明將 2/3 塊土地平均分給 4 個花盆，每個花盆分到的土地有多少？ ","1/6塊","小紅準備了 3/5 塊土地，打算分給 5 個花盆，每個花盆分到的土地有多少？ ","3/25塊","老師有 7/8 塊土地，想分給 2 個班級，每個班級分到的土地有多少？ ","7/16塊","分數除以整數的意義：將一個分數平均分給若干份。例如，將 3/4 塊土地分給 3 個花盆，實際上就是將 3/4 除以 3。如何計算：計算分數除以整數的方法是將分數與整數的倒數相乘，即「分數 ÷ 整數 = 分數 × 整數的倒數」。實際應用：分數除以整數在生活中有很多實際應用，例如平均分配土地、食物、金錢等。"
"3-1","長方體與正方體的體積 ","皮皮和丹丹參觀了石門水庫的泥沙清除工程，看到一艘巨大的抽泥船。他們好奇地問：「這麼大一艘船，要清理多少泥沙啊？」
導覽員阿姨笑著回答：「這艘抽泥船每年可以清除超過40萬立方公尺的泥沙喔！」
皮皮驚訝地說：「哇，那是多少立方公尺呢？如果用正方體堆起來會是什麼樣子呢？」
阿姨拿出模型解說：「像這個長5公分、寬5公分、高5公分的正方體，我們叫它1立方單位。如果要堆出40萬個這樣的立方體，可是要堆成一座小山呢！」
丹丹開心地說：「原來，計算體積就是要知道物體裡可以放多少個這樣的小立方體啊！」
從此，他們學會了長方體和正方體的體積計算公式：長 × 寬 × 高！ ","一個長方體的長是6公分，寬是4公分，高是5公分。請問體積是多少立方公分？ ","120立方公分","一個正方體的邊長是7公分，請問體積是多少立方公分？ ","343立方公分","一個長方體的體積是240立方公分，長是8公分，寬是5公分，高是多少公分？ ","6公分","一個正方體積木堆成的體積是125立方公分，這個正方體的邊長是多少公分？ ","5公分","一個長方體盒子，長是12公分、寬是7公分、高是5公分。盒子的體積是多少立方公分？ ","420立方公分","認識台灣水庫淤積問題與泥沙體積的單位（立方公尺），引導到體積的概念。認識長方體結構：長、寬、高的不同排列方式。了解立方體如何由單位立方堆成。透過堆積單位立方體推導出長方體體積公式（長 × 寬 × 高），並實作算式。運用長方體與正方體的體積公式進行實際計算（含長方體與正方體例題）。延伸應用：千格塊與正方體泡棉積木體積計算練習，建立直觀空間感。"
"3-2","認識1立方公尺 ","一天，Tommy 和他的朋友們發現了一個非常大的箱子。他們想知道箱子的容量到底有多大。Tommy說：「我們可以把箱子分成小的1立方公尺的單位，這樣就能知道這個箱子有多少個1立方公尺！」大家開始幫忙計算，並逐一放入標準大小的立方體來填充這個箱子。經過努力，他們發現這個箱子的容量相當於幾十個1立方公尺的空間！他們不禁為這個大箱子的容量感到驚訝，原來1立方公尺的大小竟然如此具體而直觀！ ","一個立方體的邊長為2公尺，這個立方體的體積是多少立方公尺？ ","8立方公尺","如果將1立方公尺的箱子放入一個2立方公尺的空間，它會怎麼樣？ ","1立方公尺的箱子將完全容納進去，並且還有空間剩下。 ","將2個1立方公尺的箱子堆在一起，會有多少立方公尺的體積？ ","2立方公尺","有一個長方體，它的長是4公尺，寬是2公尺，高是3公尺。這個長方體的體積是多少？ ","24立方公尺","如果要計算1立方公尺等於多少立方厘米，應該怎麼做？ ","1立方公尺 = 100 × 100 × 100 = 1,000,000 立方厘米。 ","(1) 1立方公尺的定義：1立方公尺是邊長為1公尺的立方體的體積，簡單來說，它是容納1公尺×1公尺×1公尺空間的體積。 (2) 計算長方體體積的基本公式是： 長 × 寬 × 高 ；計算立方體體積的基本公式是：邊長 × 邊長 × 邊長。(3) 1立方公尺等於100厘米 × 100厘米 × 100厘米，也就是1,000,000立方厘米。這是進行體積單位換算時的重要公式。"
"3-3","簡單複合形體的體積 ","故事名稱：皮皮與丹丹的大積木任務。皮皮和丹丹在學校的數學課上接到了一個任務：用正方體積木和長方體積木，搭建出一個新的大型形體。他們拿著一堆大小不同的積木，討論著如何組合才能剛好填滿空間。  皮皮說：「我們可以把形體切分成上下兩層，每一層分別算體積！」 丹丹則建議：「或者左右切開，再加起來，也可以！」 於是，他們一邊量邊畫，把每個小形體的長、寬、高仔細記下來，然後分別算出每一部分的體積，再把所有體積加起來。  最後，他們成功搭建出一座壯觀的積木城堡，老師讚許他們懂得運用分割與加總法則計算複合形體體積，也讓大家了解：複合形體的體積＝各部分體積相加！","一個由兩個長方體組成的複合形體，請問總體積是多少立方公分？上層：長 5、寬 4、高 3；下層：長 8、寬 4、高 2","124立方公分","一個形體由一個正方體（邊長6公分）和一個長方體（長10公分、寬6公分、高2公分）組成。求總體積。 ","336立方公分","下面是一個有缺口的形體（如下圖示意），先補成大長方體再減去小正方體。 大長方體：長 10、寬 8、高 6 ；小正方體：邊長 4","416立方公分","一個形體分成左右兩塊，左邊是長方體（長7公分、寬5公分、高4公分），右邊是正方體（邊長4公分）。求總體積。 ","204立方公分","有一個形體，底座是長方體（長12公分、寬9公分、高5公分），上方是一個較小的正方體（邊長3公分），求總體積。 ","567立方公分","了解組合形體各部分長、寬、高之關係。切分策略（上下分、左右分）。填補法與減去法。 體積比大小應分別計算後比較。實際應用體積大小判斷。熟練組合體積計算。將複雜水域分成長方體或長方形區段測量體積。"
